1,2,3,4,5
0.7666,0.7755,0.7812,0.7939,0.8667
0.7353,0.7424,0.7398,0.7429,0.7945
0.7392,0.7465,0.7576,0.7616,0.9993
0.7505,0.7599,0.7697,0.788,0.9251
0.7589,0.7585,0.7687,0.7756,0.9056
